Program,Group,Subject/Lab,Faculty/Venue Details
ETC,ETC-1,WMC (CL-06),"Prof. S. S. Singh"
ETC,ETC-1,DCN (CL-06),"Prof. A. K. Ray"
ETC,ETC-1,VLSIC&S (CL-06),"Prof. S. K. Maity"
ETC,ETC-1,EECO (CL-06),"Dr. Sugyanta Priyadarshini"
ETC,ETC-1,VLSI Design Lab,"Mr. S. Kund, Prof. S. K. Maity"
ETC,ETC-1,WCN Lab,"Prof. Deepak Kumar Rout, Prof. S. S. Singh"
ETC,ETC-1,Electronics Design Lab,"Prof. Kumar Biswal, Prof. S. Sahu"
ETC,ETC-2,WMC (CL-A-07),"Prof. J. R. Panda"
ETC,ETC-2,DCN (CL-A-07),"Prof. A. Datta"
ETC,ETC-2,VLSIC&S (CL-A-07),"Prof. R. Prasad"
ETC,ETC-2,EECO (CL-A-07),"Dr. Sugyanta Priyadarshini"
ETC,ETC-2,VLSI Design Lab,"Prof. R. Prasad, Mr. S. Kund"
ETC,ETC-2,WCN Lab,"Prof. A. Datta, Prof. Deepak Kumar Rout"
ETC,ETC-2,Electronics Design Lab,"Prof. S. Padhy, Prof. R. K. Khanna"
ETC,ETC-3,WMC (CL-A-08),"Prof. S. S. Singh"
ETC,ETC-3,DCN (CL-A-08),"Prof. A. Mishra"
ETC,ETC-3,VLSIC&S (CL-A-08),"Prof. S. Padhy"
ETC,ETC-3,EECO (CL-A-08),"Dr. Seba Mohanty"
ETC,ETC-3,VLSI Design Lab,"Mr. S. Kund, Prof. Manas Ranjan Tripathy"
ETC,ETC-3,WCN Lab,"Prof. J. R. Panda, Prof. A. Datta"
ETC,ETC-3,Electronics Design Lab,"Prof. R. K. Khanna, Prof. S. K. Dash"
EEE,All Groups,CE (CL-15),"Prof. M. K. Beuria"
EEE,All Groups,PE&D (CL-15),"Dr. Pradeep Kumar Sahu"
EEE,All Groups,PSO&C (CL-15),"Dr. Subodh Ku Mohanty"
EEE,All Groups,EECO (CL-15),"Dr. Sugyanta Priyadarshini"
EEE,All Groups,Electronics Design Lab,"Prof. S. Padhy, Dr. Jitendra Kumar Das"
EEE,All Groups,Power Electronics Lab,"Dr. Pradeep Kumar Sahu"
EEE,All Groups,Power Systems Lab,"Dr. Padarbinda Samal, Dr. Subodh Ku Mohanty"
ECSC,ECSc-1 / 2 / 3,SWE (CL-A-01 / 02 / 03),"Prof. Deepak Kumar Rout, Prof. M. Behera, Prof. Proshikshya Mukherjee"
ECSC,ECSc-1 / 2 / 3,VLSIC&S (CL-A-01 / 02 / 03),"Prof. R. Prasad, Prof. Ruby Mishra, Prof. S. K. Maity"
ECSC,ECSc-1 / 2 / 3,CN (CL-A-01 / 02 / 03),"Prof. P. Dutta, Prof. Manas Ranjan Tripathy, Prof. Sruti S. Singh"
ECSC,ECSc-1 / 2 / 3,EECO (CL-A-01 / 02 / 03),"Dr. Sugyanta Priyadarshini, Dr. Seba Mohanty"
ECSC,ECSc-4,SWE / VLSIC&S / CN / EECO (CL-A-04),"Prof. S. Mishra, Prof. A. Bakshi, Prof. Sruti S. Singh, Prof. Tarak K Sahoo"
ECSC,ECSc-5,SWE / VLSIC&S / CN / EECO (CL-07),"Prof. S. Pahadsingh, Prof. Soumya Shatakshi Panda, Prof. P. Sunil, Dr. Smitirupa Pradhan"
ECSC,ECSc-6,SWE / VLSIC&S / CN / EECO (CL-A-06),"Prof. S. Mishra, Prof. B. P. De, Prof. P. Dutta, Dr. S. B. Mishra"
