Program,Day,Group,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-18:00
ECSC,MON,ECSc1,X,AD LAB,AD LAB,PE-III (GrA),EECO,X,X,PE-III (GrB),SWE
ECSC,MON,ECSc2,X,VLSID LAB,VLSID LAB,PE-III (GrA),VLSIC&S,EECO,X,PE-III (GrB),X
ECSC,MON,ECSc3,X,CN,EECO,PE-III (GrA),SWE,X,X,PE-III (GrB),X
ECSC,MON,ECSc4,X,SWE,CN,PE-III (GrA),EECO,X,X,PE-III (GrB),VLSID LAB
ECSC,MON,ECSc5,X,X,X,PE-III (GrA),VLSIC&S,X,X,PE-III (GrB),CN LAB
ECSC,MON,ECSc6,X,EECO,CN,PE-III (GrA),VLSIC&S,X,X,PE-III (GrB),AD LAB
ECSC,TUE,ECSc1,X,EECO,CN,PE-III (GrA),VLSID LAB,VLSID LAB,X,SWE,X
ECSC,TUE,ECSc2,X,X,EECO,PE-III (GrA),CN LAB,CN LAB,X,SWE,X
ECSC,TUE,ECSc3,X,X,CN,PE-III (GrA),AD LAB,AD LAB,X,SWE,X
ECSC,TUE,ECSc4,X,CN,SWE,PE-III (GrA),VLSIC&S,X,X,AD LAB,AD LAB
ECSC,TUE,ECSc5,X,SWE,CN,PE-III (GrA),VLSIC&S,X,X,VLSID LAB,VLSID LAB
ECSC,TUE,ECSc6,X,AD LAB,AD LAB,PE-III (GrA),SWE,X,X,EECO,X
ECSC,WED,ECSc1,X,X,CN,VLSIC&S,SWE,X,X,X,MINOR/OE (16:30-18:00)
ECSC,WED,ECSc2,X,AD LAB,AD LAB,EECO,VLSIC&S,SWE,X,X,MINOR/OE (16:30-18:00)
ECSC,WED,ECSc3,X,CN LAB,CN LAB,EECO,CN,X,X,X,MINOR/OE (16:30-18:00)
ECSC,WED,ECSc4,X,SWE,EECO,AD LAB,AD LAB,X,X,X,MINOR/OE (16:30-18:00)
ECSC,WED,ECSc5,X,EECO,EECO,SWE,CN,VLSIC&S,X,X,MINOR/OE (16:30-18:00)
ECSC,WED,ECSc6,X,X,SWE,VLSID LAB,VLSID LAB,X,X,X,MINOR/OE (16:30-18:00)
ECSC,THU,ECSc1,X,AD LAB,AD LAB,EECO,SWE,PE-III (GrB),X,PE-III (GrA),X
ECSC,THU,ECSc2,X,CN,SWE,VLSIC&S,X,PE-III (GrB),X,PE-III (GrA),X
ECSC,THU,ECSc3,X,EECO,VLSIC&S,AD LAB,AD LAB,PE-III (GrB),X,PE-III (GrA),X
ECSC,THU,ECSc4,X,CN LAB,CN LAB,SWE,VLSIC&S,PE-III (GrB),X,PE-III (GrA),X
ECSC,THU,ECSc5,X,X,SWE,CN,X,PE-III (GrB),X,PE-III (GrA),X
ECSC,THU,ECSc6,X,SWE,VLSIC&S,CN LAB,CN LAB,PE-III (GrB),X,PE-III (GrA),X
ECSC,FRI,ECSc1,X,X,CN,CN LAB,CN LAB,PE-III (GrB),X,X,MINOR/OE (16:30-18:00)
ECSC,FRI,ECSc2,X,SWE,CN,AD LAB,AD LAB,PE-III (GrB),X,X,MINOR/OE (16:30-18:00)
ECSC,FRI,ECSc3,X,VLSID LAB,VLSID LAB,VLSIC&S,SWE,PE-III (GrB),X,X,MINOR/OE (16:30-18:00)
ECSC,FRI,ECSc4,X,X,EECO,VLSIC&S,CN,PE-III (GrB),X,X,MINOR/OE (16:30-18:00)
ECSC,FRI,ECSc5,X,AD LAB,AD LAB,EECO,SWE,PE-III (GrB),X,X,MINOR/OE (16:30-18:00)
ECSC,FRI,ECSc6,X,X,VLSIC&S,SWE,EECO,PE-III (GrB),X,X,MINOR/OE (16:30-18:00)
